Date,AAPL,ABEV3.SA,AMZN,BBAS3.SA,BBDC3.SA,BOVA11.SA,BRK-B,BRL=X,DIA,ECOO11.SA,EFA,GOOGL,ITSA4.SA,ITUB4.SA,IVVB11.SA,JPM,LREN3.SA,META,MGLU3.SA,MSFT,NVDA,PETR4.SA,QQQ,SMAL11.SA,SPY,TSLA,V,VALE3.SA,VTI,WEGE3.SA,XINA11.SA,^BVSP,BTC-USD,ETH-USD,BNB-USD,ADA-USD,SOL-USD,XRP-USD,DOGE-USD,DOT-USD,MATIC-USD,AVAX-USD,LINK-USD,ATOM-USD,LTC-USD,TRX-USD,UNI-USD,XLM-USD,BCH-USD,USDT-USD,USDC-USD
2020-07-29,92.28070831298828,11.75536060333252,151.67649841308594,12.609804153442383,13.388717651367188,101.4800033569336,196.41000366210938,5.152299880981445,242.43182373046875,111.30000305175781,55.5489616394043,75.6537094116211,6.180719375610352,19.65597915649414,182.22000122070312,87.16315460205078,29.166461944580078,232.01712036132812,181.55172729492188,195.18606567382812,10.430530548095703,6.863961696624756,252.248291015625,119.5,302.72509765625,99.94066619873047,191.30955505371094,36.75041580200195,153.42420959472656,30.94723129272461,,105605.0,11100.4677734375,318.1908874511719,19.89558982849121,0.1398790031671524,1.6582889556884766,0.24309900403022766,0.003192000091075897,,0.020380999892950058,4.986753940582275,7.116083145141602,3.6404409408569336,55.17200469970703,0.019324999302625656,0.0003239999932702631,0.0952880010008812,288.3741455078125,1.0025399923324585,1.0000499486923218
2020-07-30,93.3973388671875,11.289802551269531,152.593994140625,12.206428527832031,13.048839569091797,101.30999755859375,194.3000030517578,5.168799877166748,240.40475463867188,110.51000213623047,54.72890090942383,76.3916244506836,6.058549404144287,19.32247543334961,180.8000030517578,84.83715057373047,28.949644088745117,233.2205352783203,188.52316284179688,195.03302001953125,10.578533172607422,6.760278224945068,253.5688934326172,121.01000213623047,301.64501953125,99.16600036621094,186.95504760742188,35.769630432128906,153.080322265625,31.418506622314453,,105009.0,11111.2138671875,334.5866394042969,20.01273536682129,0.14058800041675568,1.6868070363998413,0.24452200531959534,0.0032309999223798513,,0.02042900025844574,4.986753940582275,7.4169921875,3.719433069229126,56.64311218261719,0.019276000559329987,0.00026500000967644155,0.09664300084114075,292.1941833496094,1.0018630027770996,0.9998160004615784
2020-07-31,103.17496490478516,10.785444259643555,158.23399353027344,11.77850341796875,12.581506729125977,99.29000091552734,195.77999877929688,5.153900146484375,241.3816680908203,108.0999984741211,53.56352996826172,73.88788604736328,5.925272464752197,18.68324851989746,183.67999267578125,84.5048828125,28.767776489257812,252.28591918945312,182.89022827148438,196.09471130371094,10.579278945922852,6.576606273651123,258.093994140625,118.0,304.0286560058594,95.38400268554688,183.4290771484375,35.442691802978516,153.8611602783203,31.118186950683594,,102912.0,11323.466796875,345.5546569824219,20.66814613342285,0.13879799842834473,1.5381779670715332,0.25890401005744934,0.0032250001095235348,,0.020258000120520592,4.986753940582275,7.77291202545166,3.7923710346221924,57.998138427734375,0.019677000120282173,0.0002809999859891832,0.09693100303411484,300.5045166015625,1.0001410245895386,1.0064829587936401
2020-08-01,103.17496490478516,10.785444259643555,158.23399353027344,11.77850341796875,12.581506729125977,99.29000091552734,195.77999877929688,5.153900146484375,241.3816680908203,108.0999984741211,53.56352996826172,73.88788604736328,5.925272464752197,18.68324851989746,183.67999267578125,84.5048828125,28.767776489257812,252.28591918945312,182.89022827148438,196.09471130371094,10.579278945922852,6.576606273651123,258.093994140625,118.0,304.0286560058594,95.38400268554688,183.4290771484375,35.442691802978516,153.8611602783203,31.118186950683594,,102912.0,11759.5927734375,385.19970703125,21.530431747436523,0.14357300102710724,1.526610016822815,0.2895289957523346,0.00368899991735816,,0.020989999175071716,4.986753940582275,8.304458618164062,4.063536167144775,61.2932243347168,0.020395999774336815,0.0003239999932702631,0.10699500143527985,317.9964599609375,0.9970129728317261,0.9963759779930115
2020-08-02,103.17496490478516,10.785444259643555,158.23399353027344,11.77850341796875,12.581506729125977,99.29000091552734,195.77999877929688,5.153900146484375,241.3816680908203,108.0999984741211,53.56352996826172,73.88788604736328,5.925272464752197,18.68324851989746,183.67999267578125,84.5048828125,28.767776489257812,252.28591918945312,182.89022827148438,196.09471130371094,10.579278945922852,6.576606273651123,258.093994140625,118.0,304.0286560058594,95.38400268554688,183.4290771484375,35.442691802978516,153.8611602783203,31.118186950683594,,102912.0,11053.6142578125,370.6717224121094,20.944887161254883,0.13350500166416168,1.7428100109100342,0.28706198930740356,0.0033360000234097242,,0.0200009997934103,4.986753940582275,8.27177619934082,3.8917980194091797,56.64144515991211,0.01903899945318699,0.00033400001120753586,0.10254999995231628,283.781982421875,0.9978510141372681,0.9973639845848083
2020-08-03,105.77472686767578,10.638019561767578,155.59449768066406,12.048588752746582,12.532953262329102,99.19999694824219,199.25999450683594,5.221199989318848,243.5457000732422,108.19000244140625,54.60803985595703,73.63017272949219,5.94193172454834,18.964801788330078,188.89999389648438,84.03269958496094,28.55095863342285,250.5852813720703,187.10501098632812,207.12338256835938,10.973458290100098,6.458108901977539,261.580078125,117.51000213623047,306.1424255371094,99.0,183.7084197998047,35.17997741699219,155.19970703125,30.757795333862305,,102830.0,11246.3486328125,386.295166015625,22.055011749267578,0.13733500242233276,1.802610993385315,0.30994001030921936,0.0033889999613165855,,0.020459000021219254,4.986753940582275,9.164758682250977,3.8548319339752197,58.468902587890625,0.01988700032234192,0.0003319999959785491,0.10505899786949158,296.5352478027344,1.0014139413833618,1.0000510215759277
2020-08-04,106.48109436035156,10.397479057312012,156.94149780273438,11.680294036865234,12.160750389099121,97.5999984741211,200.24000549316406,5.318699836730957,245.08892822265625,105.5,54.91017532348633,73.16040802001953,5.669824600219727,17.859455108642578,188.0500030517578,83.55175018310547,27.61371421813965,248.46690368652344,186.94638061523438,204.01467895507812,11.190232276916504,6.452184200286865,262.55108642578125,115.30000305175781,307.3247985839844,99.13333129882812,185.2498321533203,35.43686294555664,155.81320190429688,30.859451293945312,,101216.0,11205.892578125,389.87548828125,22.28258514404297,0.14301800727844238,1.8716390132904053,0.3004930019378662,0.0035349999088793993,,0.020646000280976295,4.986753940582275,9.821836471557617,4.010159969329834,57.53305435180664,0.02035200037062168,0.0002390000008745119,0.10997100174427032,288.3858642578125,1.0003989934921265,1.0000499486923218
2020-08-05,106.8670883178711,10.226775169372559,160.25149536132812,11.690814971923828,12.233642578125,98.98999786376953,203.6199951171875,5.290200233459473,248.36700439453125,107.38999938964844,55.091453552246094,73.44792938232422,5.664271831512451,17.845550537109375,189.83999633789062,85.00330352783203,28.495004653930664,247.76075744628906,188.07940673828125,203.679931640625,11.24903392791748,6.866923809051514,263.2016906738281,117.30000305175781,309.2335510253906,99.00133514404297,188.92037963867188,36.306724548339844,156.947265625,31.510913848876953,,102802.0,11747.0224609375,401.590576171875,23.336217880249023,0.14269499480724335,1.7545499801635742,0.30331099033355713,0.003512999974191189,,0.021379999816417694,4.986753940582275,9.5587739944458,4.159564971923828,59.01070785522461,0.020450999960303307,0.00026699999580159783,0.10793499648571014,294.48663330078125,1.0030889511108398,1.0001280307769775
2020-08-06,110.59558868408203,10.288848876953125,161.25,12.048588752746582,12.403724670410156,100.16999816894531,205.02000427246094,5.290900230407715,250.1019287109375,108.9000015258789,55.15187454223633,74.7320556640625,5.730910301208496,18.09581756591797,192.39999389648438,85.0295181274414,29.970802307128906,263.8326110839844,194.6735076904297,206.94166564941406,11.297619819641113,6.878773212432861,266.6877746582031,119.0,311.30072021484375,99.30533599853516,191.4925994873047,36.0965576171875,157.70950317382812,32.2640380859375,,104126.0,11779.7734375,394.9619445800781,22.707660675048828,0.14404800534248352,2.206347942352295,0.3035840094089508,0.0035600000992417336,,0.021770000457763672,4.986753940582275,10.140254974365234,4.176072120666504,59.16426467895508,0.020275000482797623,0.0003169999981764704,0.1064319983124733,308.76031494140625,1.0001749992370605,1.000236988067627
2020-08-07,108.08113098144531,10.327646255493164,158.3730010986328,11.964407920837402,12.324755668640137,98.83000183105469,209.47999572753906,5.331299781799316,250.75936889648438,107.63999938964844,54.92742919921875,74.40531921386719,5.669824600219727,17.713455200195312,196.75,86.90081024169922,30.229597091674805,266.9753112792969,194.08433532714844,203.2399139404297,11.162076950073242,6.751389980316162,263.6094970703125,117.75,311.5241394042969,96.84733581542969,189.1708526611328,35.29090881347656,157.83966064453125,31.62641716003418,,102776.0,11601.47265625,379.5128479003906,22.311546325683594,0.13915500044822693,2.0859029293060303,0.2946639955043793,0.0035329998936504126,,0.021398000419139862,4.986753940582275,10.06336498260498,4.020471096038818,57.24553298950195,0.019937999546527863,0.00031900001340545714,0.10312099754810333,303.4585876464844,1.0028460025787354,1.0002690553665161
2020-08-08,108.08113098144531,10.327646255493164,158.3730010986328,11.964407920837402,12.324755668640137,98.83000183105469,209.47999572753906,5.331299781799316,250.75936889648438,107.63999938964844,54.92742919921875,74.40531921386719,5.669824600219727,17.713455200195312,196.75,86.90081024169922,30.229597091674805,266.9753112792969,194.08433532714844,203.2399139404297,11.162076950073242,6.751389980316162,263.6094970703125,117.75,311.5241394042969,96.84733581542969,189.1708526611328,35.29090881347656,157.83966064453125,31.62641716003418,,102776.0,11754.0458984375,393.98736572265625,22.87811851501465,0.1457809954881668,2.4736249446868896,0.29402199387550354,0.0035099999513477087,,0.022847000509500504,4.986753940582275,12.689207077026367,4.431723117828369,58.129207611083984,0.02041799947619438,0.0002500000118743628,0.1029599979519844,304.4788818359375,1.0001640319824219,0.9994279742240906
2020-08-09,108.08113098144531,10.327646255493164,158.3730010986328,11.964407920837402,12.324755668640137,98.83000183105469,209.47999572753906,5.331299781799316,250.75936889648438,107.63999938964844,54.92742919921875,74.40531921386719,5.669824600219727,17.713455200195312,196.75,86.90081024169922,30.229597091674805,266.9753112792969,194.08433532714844,203.2399139404297,11.162076950073242,6.751389980316162,263.6094970703125,117.75,311.5241394042969,96.84733581542969,189.1708526611328,35.29090881347656,157.83966064453125,31.62641716003418,,102776.0,11675.7392578125,391.1204528808594,22.475536346435547,0.14524400234222412,2.6652278900146484,0.2886529862880707,0.0034630000591278076,,0.02277900092303753,4.986753940582275,13.853204727172852,5.283985137939453,57.13903045654297,0.020472999662160873,0.00021499999274965376,0.10508599877357483,300.4008483886719,1.0031700134277344,1.0017600059509277
2020-08-10,109.65204620361328,10.273330688476562,157.4080047607422,12.076648712158203,12.428021430969238,99.54000091552734,212.5800018310547,5.43720006942749,253.9735107421875,107.5199966430664,55.10871505737305,74.3283462524414,5.753121852874756,17.942873001098633,198.38999938964844,88.00259399414062,29.830921173095703,261.5650634765625,185.65475463867188,199.1938934326172,11.127691268920898,6.946911334991455,262.4831237792969,118.0999984741211,312.455322265625,94.57133483886719,189.58511352539062,36.312564849853516,158.2765350341797,31.875930786132812,,103444.0,11878.111328125,395.8875732421875,22.61379623413086,0.1438550055027008,3.1317930221557617,0.29465898871421814,0.0034990001004189253,,0.02436400018632412,4.986753940582275,13.441035270690918,5.4720778465271,58.28884506225586,0.02151699922978878,0.0002500000118743628,0.10599400103092194,302.5855407714844,1.0010590553283691,1.0020719766616821
2020-08-11,106.3910140991211,10.40523910522461,154.0334930419922,11.90126895904541,12.270087242126465,98.19999694824219,212.66000366210938,5.480500221252441,253.10594177246094,106.31999969482422,55.30725860595703,73.51992797851562,5.664271831512451,17.734325408935547,194.8000030517578,90.78328704833984,29.719011306762695,254.73252868652344,183.52471923828125,194.53565979003906,10.81374454498291,6.837301254272461,257.5113525390625,118.48999786376953,309.87615966796875,91.6259994506836,190.5292510986328,35.19165802001953,157.00302124023438,31.127422332763672,,102174.0,11410.525390625,380.3840637207031,21.25694465637207,0.13743600249290466,3.3034191131591797,0.2844490110874176,0.0033939999993890524,,0.02307399921119213,4.986753940582275,13.105990409851074,4.930304050445557,54.386844635009766,0.020157000049948692,0.00025099999038502574,0.10093200206756592,282.9462585449219,1.0036909580230713,1.001999020576477
2020-08-12,109.92681884765625,10.459553718566895,158.11199951171875,11.838133811950684,12.209343910217285,98.33000183105469,213.24000549316406,5.38040018081665,255.70848083496094,106.31999969482422,56.533042907714844,74.84577178955078,5.614292144775391,17.5327205657959,198.39999389648438,90.01378631591797,29.27137565612793,258.4720153808594,181.4173126220703,200.093017578125,11.402022361755371,6.955798149108887,263.9881896972656,116.30000305175781,314.19647216796875,103.65066528320312,191.46372985839844,35.90390396118164,159.10385131835938,31.418506622314453,,102118.0,11584.9345703125,391.024169921875,21.751449584960938,0.13739800453186035,3.7697510719299316,0.2849299907684326,0.0034839999862015247,,0.025544000789523125,4.986753940582275,16.621543884277344,5.97628116607666,54.96858596801758,0.02039100043475628,0.0002410000015515834,0.10217899829149246,287.6067810058594,1.0137909650802612,1.0041979551315308
2020-08-13,111.87226867675781,10.250051498413086,158.05099487304688,11.599616050720215,11.850964546203613,96.51000213623047,211.97999572753906,5.434999942779541,255.142333984375,104.48999786376953,56.2827033996582,75.31305694580078,5.475461483001709,17.03217124938965,196.0,89.51537322998047,28.4250545501709,259.87432861328125,182.30105590820312,199.6243133544922,11.404762268066406,6.766202926635742,264.59033203125,114.9000015258789,313.6285095214844,108.06666564941406,190.6339111328125,35.23252868652344,158.98304748535156,31.834341049194336,,100461.0,11784.1376953125,428.7417907714844,22.075544357299805,0.14124499261379242,3.7559709548950195,0.2978070080280304,0.0035170000046491623,,0.02739099971950054,4.986753940582275,17.32600212097168,6.1496992111206055,57.74131774902344,0.022606000304222107,0.00025099999038502574,0.1021369993686676,299.5163879394531,1.0202100276947021,1.005012035369873
